  UID   RSS
    0  9344
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0  8328
    0   576
    0  4636
    0     0
    0     0
    0     0
    0     0
    0 18000
    0     0
    0     0
    0     0
  102  2848
  100  3644
  101  7736
    0  5456
    0  2764
  103  4220
    0 11812
    0  3692
    0  2552
  104  3192
    0  6164
    0  5836
    1  2148
    0  2252
    0  2240
    0  1800
    0  4084
    0  2088
    0 12152
    0     0
    0     0
    0     0
    0     0
    0 16392
 1007  6816
 1007  4828
    0     0
 1007   596
 1007 100952
 1007 67388
 1007 53212
    0  9764
 1007  6728
 1007  3560
 1007 113016
 1007 52780
    0  9856
 1007  6116
 1007  3436
 1007 13612
    0     0
 1007  5152
 1007   452
 1007   452
    0     0
    0     0
    0     0
 1007   580
 1007   580
 1007  3076
