  UID GROUP
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
  102 systemd-timesync
  100 systemd-network
  101 systemd-resolve
    0 root
    0 root
  103 messagebus
    0 root
    0 root
    0 root
  104 syslog
    0 root
    0 root
    1 daemon
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
    0 root
 1007 sysops
 1007 sysops
    0 root
 1007 sysops
 1007 sysops
 1007 sysops
 1007 sysops
    0 root
 1007 sysops
 1007 sysops
 1007 sysops
 1007 sysops
    0 root
 1007 sysops
 1007 sysops
 1007 sysops
    0 root
 1007 sysops
 1007 sysops
 1007 sysops
    0 root
    0 root
    0 root
 1007 sysops
 1007 sysops
 1007 sysops
