    PID   GID
      1     0
      2     0
      3     0
      4     0
      6     0
      8     0
      9     0
     10     0
     11     0
     12     0
     14     0
     15     0
     16     0
     17     0
     18     0
     19     0
     20     0
     21     0
     22     0
     23     0
     24     0
     70     0
     71     0
     72     0
     73     0
     74     0
     75     0
     76     0
     77     0
     78     0
     80     0
     81     0
     83     0
     84     0
     85     0
     86     0
     87     0
     88     0
     89     0
     91     0
     93     0
    102     0
    105     0
    118     0
    152     0
    197     0
    240     0
    241     0
    276     0
    314     0
    337     0
    367     0
    500     0
    501     0
    502     0
    503     0
    504     0
    515     0
    517     0
    518     0
    536   104
    593   102
    595   103
    630     0
    633     0
    635   106
    642     0
    643     0
    645     0
    646   110
    650     0
    652     0
    655     1
    660     0
    663     0
    667     0
    692     0
    698     0
    717     0
   1006     0
  57353     0
  57356     0
 110439     0
 110492     0
 189243  1000
 189249  1000
 288957     0
 391159  1000
 391169  1000
 391208  1000
 391232  1000
 397357     0
 397440  1000
 397441  1000
 397494  1000
 397505  1000
 397526     0
 397659  1000
 397660  1000
 397679  1000
 400671  1000
 400949  1000
 400951  1000
 416083     0
 433241     0
 433455     0
 433873  1000
 433880     0
 433883  1000
 433950  1000
