  GID   RSS
    0  9344
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0     0
    0  8328
    0   576
    0  4636
    0     0
    0     0
    0     0
    0     0
    0 18000
    0     0
    0     0
    0     0
  104  2848
  102  3644
  103  7736
    0  5456
    0  2764
  106  4220
    0 11812
    0  3692
    0  2552
  110  3192
    0  6164
    0  5836
    1  2148
    0  2252
    0  2240
    0  1800
    0  4084
    0  2088
    0 12152
    0     0
    0     0
    0     0
    0     0
    0 16392
 1000  6816
 1000  4828
    0     0
 1000   596
 1000 100176
 1000 67464
 1000 53212
    0  9764
 1000  6728
 1000  3560
 1000 113464
 1000 52780
    0  9856
 1000  6116
 1000  3436
 1000 13612
    0     0
 1000  5152
 1000   452
 1000   452
    0     0
    0     0
 1000   576
 1000   516
    0     0
 1000  3008
